"country_or_area","labour_force_participation_rate_female_percent","labour_force_participation_rate_male_percent","percent_ever_married_female_aged_15_19","percent_ever_married_male_aged_15_19","mean_age_at_marriage_female","mean_age_at_marriage_male","contraceptive_prevalence_rate_any_method_percent","womens_share_of_tertiary_enrolment_percent","womens_share_of_labour_force_percent","adult_literacy_rate_male_percent","adult_literacy_rate_female_percent","abortion_rate_per_1000_women","total_fertility_rate_per_woman"
"Finland","58.6","70.7","1.4","0.2","30.2","32.3",NA,"54","47.6",NA,NA,"11.1","1.7"
"Former Ethiopia",NA,NA,"48.9","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"France","45.1","67.9","2.1","0.2","30.2","32.3","74.6","54","41.8",NA,NA,"16.9","1.8"
"French Guiana","58.8","76.8","1.1","0.1","31.7","34.2",NA,NA,"40",NA,NA,NA,"3.7"
"French Polynesia","45.6","76.3","1.5","0.3","29.9","32.1",NA,NA,"34.3",NA,NA,NA,"3.6"
"Gabon","61","83","15.9","2.3","22.1","26.2","32.7","36","43.4","79.4","65.3",NA,"5"
"Gambia The","62.8","86","38.4","1.9","19.6","28.4","11.8","23","42.6",NA,NA,NA,"6.2"
"Georgia","66.1","74.9",NA,NA,"24.3",NA,"40.5","52","50.9",NA,NA,"19.1","2.3"
"German Democratic Republic (former)",NA,NA,"2.6","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","40.7","71.2","2.2","0.2",NA,NA,"74.7",NA,"39.2",NA,NA,"7.8","1.4"
"Germany, Federal Republic of",NA,NA,"1.7","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","77.3","81.5","19.6","10.8","21.2","26.6","20.3","25","48.6","66.4","49.8",NA,"6.1"
"Gibraltar",NA,NA,"8.4","2.3",NA,NA,NA,"…",NA,NA,NA,NA,NA
"Greece","34.7","69.9","5.5","0.6","24.5","29.4",NA,"50","34.5","96","89.4","5","1.5"
"Greenland",NA,NA,"0.5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,"54.3","…",NA,NA,NA,NA,"4.1"
"Guadeloupe","52.2","69.8","1.1","0.1","29.5","32.3",NA,NA,"44.4",NA,NA,NA,"2.5"
"Guam","50.4","77.2",NA,NA,"24.4","26.8",NA,NA,"36.5",NA,NA,NA,"3.1"
"Guatemala","27.7","90.5","24.2","7.8","20.5",NA,"31.4","43","23.3","71.7","57.3",NA,"5.7"
"Guernsey",NA,NA,"1.9","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","79.6","90.2",NA,NA,"18.7","27.7","1.7","16","47.2","42.6","18.1",NA,"6.8"
"Guinea-Bissau","57.9","92.1",NA,NA,NA,NA,"7.6","16","39.8",NA,NA,NA,"7.1"
"Guyana","32.6","83.5",NA,NA,"27.8","30.1","37.3","65","29.3",NA,NA,NA,"2.7"
"Haiti","59.9","83.5","8.6","3.3","22.3","27.3","18",NA,"43.5",NA,NA,NA,"5.7"
"Honduras","32.6","87.1",NA,NA,"20.4",NA,"46.7","56","27.4","79.8","80.2",NA,"5.4"
"Hong Kong SAR","48.8","80.6","2.1","0.6","28.6","30.7","86.2","50","36.3",NA,NA,NA,"1.3"
"Hungary","47.8","68.6","11.2","1.4","26.3","29.1","77.4","54","43.6",NA,NA,"23.4","1.8"
"Iceland","66.7","81.5","0.9","0.2","30.5","32.6",NA,"62","44.7",NA,NA,"14.1","2.1"
"India","36.5","85.6","35.7","9.5","19.9","24.9","40.7","38","28.1","61.6","33.7","3.1","4.2"
"Indonesia","43.4","80.7","18.8","1.8","22.5","25.9","49.7","43","35.3","88","75.3",NA,"3.4"
"Iran","20.4","81.2","33.4","6.6","22.1","25.3","64.6","43","19.2","63.1","41",NA,"5.6"
"Iraq","14.8","75.8","15.3","2.9","22.3","26.3",NA,"34","16.2","84.1","64.2",NA,"6.2"
"Ireland","33.4","72.5","1.2","0.5","30.9","32.2",NA,"54","31.8",NA,NA,NA,"2.3"
"Isle of Man",NA,NA,"1.5","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel","38.4","63.9","5","0.4","25","27.9",NA,"58","38.3",NA,NA,"13.9","3.1"
"Italy","33.5","67.6","0.9","0.1","28.4","31.5","60.2","55","35","98.8","98","10.6","1.3"
"Jamaica","66.9","81.4","0.7","0.4","33.2","34.6","62","65","46.4","74.1","85.9",NA,"3.1"
